"id","created_on","updated_on","status","name","parent_id","updated_by_id","created_by_id"
"07e42309-a9b2-4004-93a6-778507313a31","2023-09-29 11:02:55.545463+00","2023-09-29 11:02:55.545486+00",90,"Craterastrea","87749844-9e68-499f-9ee9-1641ed6d092e",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"07e97dbf-5c07-420f-8045-12fc70866746","2021-02-04 04:34:58.831549+00","2021-02-04 04:34:58.831573+00",90,"Porites colonensis","2b55697f-f26e-433e-9070-f1fe9748bf7b",NULL,"356bce05-ff67-4abc-ad03-bc57fa5190a0"
"0840f526-4ef8-46ed-b02e-b0bcb417a1f7","2023-12-13 03:39:09.4676+00","2023-12-13 03:39:09.467621+00",90,"Echinometra mathaei","03b6765e-c81b-46db-ac41-22a3715ebc12",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"08497e2e-570d-4394-9e97-c9bbdf0f7165","2020-02-17 19:15:01.915011+00","2020-02-17 19:15:01.915045+00",90,"Acanthophora","09226989-50e7-4c40-bd36-5bcef32ee7a1",NULL,NULL
"0864b076-ab54-4d26-8b69-d5e6788a1b13","2023-11-07 01:48:13.461038+00","2023-11-07 01:48:13.461061+00",90,"Mycale","50b183be-669d-4af2-8d26-a1c799e3201a",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"08fab4ab-3f43-4acb-8bc1-d7bdc87c4bd7","2023-09-29 07:28:11.757637+00","2023-11-07 02:07:14.386348+00",90,"Pavona maldivensis","108ff93e-9191-42bf-b502-3a437407b22a",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"09226989-50e7-4c40-bd36-5bcef32ee7a1","2018-04-04 19:03:43.100527+00","2019-02-04 21:52:07.522976+00",90,"Macroalgae",NULL,NULL,NULL
"093c2a78-a6df-4c6a-9940-d1192d42fba5","2023-12-13 05:03:13.214064+00","2023-12-13 05:03:13.214089+00",90,"Padina boergesenii","053de64e-a2b9-40b6-b566-cf3a5e95e267",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"094b095b-fe8d-4ed8-bcfb-1c52609fbbea","2024-05-23 22:21:58.010564+00","2024-05-24 00:19:50.802101+00",90,"Merulina scabricula","cdee93cc-5434-460e-b1e8-78b4164ab266","efd71c80-2c99-4bad-9bfc-72554d809635","efd71c80-2c99-4bad-9bfc-72554d809635"
"09896627-0a2e-4d83-b00a-b7f8de7f5fee","2020-02-17 19:15:09.576818+00","2023-11-06 10:12:29.310086+00",90,"Aiolochroia crassa","3077d15c-2800-4528-9d22-da71ac129ec8",NULL,NULL
"0aeb2e09-92bd-483e-8ef9-7f0447ba43d8","2018-04-04 19:03:44.101322+00","2019-02-04 21:52:07.531293+00",90,"Clam","3dc38d25-ed80-4049-af16-e85f04f97cc6",NULL,NULL
"0b16aa3e-34e6-4072-a2b2-ed1c4739d38b","2020-02-17 19:15:09.352111+00","2020-02-17 19:15:09.352139+00",90,"Niphates erecta","84bc2ed1-9309-4b83-b275-f6a55ffc3e47",NULL,NULL
"0c854534-f891-4c52-99bf-cf7f617ca0fc","2018-08-28 17:49:23.624069+00","2019-02-04 21:52:07.512732+00",90,"Bleached coral","350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c",NULL,NULL
"0d001861-934f-448f-8414-1bf81465bfa7","2018-04-04 19:03:42.452768+00","2018-04-04 19:03:42.452788+00",90,"Boninastrea","469174fe-ca4b-40e3-839f-435bd1b14989",NULL,NULL
"0d7251c1-20bc-40db-afdb-00cad85b2b0d","2021-02-04 04:25:48.08501+00","2023-11-07 03:08:05.220593+00",90,"Xestospongia muta","af81c729-b3ff-4f3b-9428-8fa6b6b69437",NULL,"356bce05-ff67-4abc-ad03-bc57fa5190a0"
"0d86f624-3479-4636-a93a-ae390187ff02","2018-04-04 19:03:43.987837+00","2018-04-04 19:03:43.98786+00",90,"Halophila ovalis","01d8297a-1d37-4ccf-bea5-dea733b1f575",NULL,NULL
"0dc61829-0b30-4906-a07a-5beff5aa44d3","2018-04-04 19:03:44.052624+00","2018-04-04 19:03:44.052647+00",90,"Ruppiaceae","5f1f7956-bc21-4bfd-a409-9740e614b2ac",NULL,NULL
"0dd12ebe-eea8-485b-854c-2bcaa4f929f7","2023-09-29 11:06:43.586315+00","2023-11-06 12:14:04.182174+00",90,"Cladopsammia gracilis","c74340d4-396d-4624-8a6b-86cc8c769ca5",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"0df2f2ac-d8b5-41fe-bf1f-7cd2c30a1a2e","2023-12-13 04:51:30.717579+00","2023-12-13 04:51:30.717601+00",90,"Porites superfusa","2b55697f-f26e-433e-9070-f1fe9748bf7b",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"0e051baa-9822-49a1-abe3-e07fba02c90c","2023-09-19 09:08:08.983648+00","2023-09-19 09:08:08.983672+00",90,"Discosoma","1c3b186a-7e30-4fbb-bd0e-95362416e1dd",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"0e0f55db-d15a-479e-9a9f-cbea6046ae7c","2020-02-17 19:15:01.412198+00","2020-02-17 19:15:01.412229+00",90,"Montastraeidae","350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c",NULL,NULL
"0e504528-266a-4599-8b8d-b8347281b18b","2018-04-04 19:03:43.048503+00","2018-04-04 19:03:43.048527+00",90,"Stylasteridae","350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c",NULL,NULL
"0ec757c1-6ef3-49ce-9711-9e422e3d74a9","2023-12-13 04:45:42.027683+00","2023-12-13 04:45:42.027704+00",90,"Foraminifera","3dc38d25-ed80-4049-af16-e85f04f97cc6",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"0edb57dd-ce6a-44cf-b5be-1a7fd96fd2f6","2020-02-17 19:15:09.042096+00","2020-02-17 19:15:09.042124+00",90,"Callyspongia vaginalis","f253df74-e8c1-4545-9697-675eb34f4d0c",NULL,NULL
"0ee04957-7c54-4def-b435-f0b8ecaa9632","2018-04-04 19:03:43.291967+00","2019-02-04 21:52:07.686604+00",90,"Tydemania","09226989-50e7-4c40-bd36-5bcef32ee7a1",NULL,NULL
"0f18ea18-0e25-42e8-bb96-f4be5f144075","2018-04-04 19:03:42.386775+00","2018-08-28 17:51:32.63883+00",90,"Heliopora","36b67b1b-aa1c-4fa6-8a77-037f456de6eb",NULL,NULL
"0f549ca9-921b-430e-9230-68e5fd00466a","2020-02-17 19:15:08.739623+00","2020-02-17 19:15:08.739652+00",90,"Agelas","6b9fdd82-685f-4f21-8fa3-883e06be2c30",NULL,NULL
"0fac3d4d-a919-40e3-8bb6-da65c4ff7b67","2020-02-17 19:15:07.816477+00","2023-11-07 02:00:41.411809+00",90,"Oculina diffusa","147fe69c-4e2c-42f5-81fd-dde608c9ac27",NULL,NULL
"10240284-332a-4913-9bca-a96af8380a06","2020-02-17 19:15:07.605752+00","2020-02-17 19:15:07.605782+00",90,"Pseudodiploria","e5e686e5-5f55-499c-ab8e-dc8aa79db5c4",NULL,NULL
"102e7c4f-d9cb-44fa-a65c-60225db98eb8","2020-02-17 19:15:06.294776+00","2023-11-07 02:39:51.339907+00",90,"Solenastrea","430912ef-7750-4e71-a976-6da41cfba4b3",NULL,NULL
"108ff93e-9191-42bf-b502-3a437407b22a","2018-04-04 19:03:41.66926+00","2018-04-04 19:03:41.669286+00",90,"Pavona","3151a2f4-1f93-41c6-998a-3b5bcbb27717",NULL,NULL
"10a9baaf-a125-4e6d-87cb-379435a8746a","2020-02-17 19:15:04.336866+00","2024-03-20 18:32:22.929114+00",90,"Trididemnum solidum","98872a8a-e688-4e8e-994e-777ddad439de",NULL,NULL
"10adf6d7-88c1-4857-bb57-4533fc40070b","2023-09-19 09:20:43.786481+00","2023-10-06 03:40:32.07171+00",90,"Anomastraea irregularis","be196ff7-1bbc-4394-951e-2feb99e20638",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"11012224-cdd7-49b7-9f29-ce384214dc11","2023-12-13 03:34:22.937752+00","2023-12-13 03:34:22.937776+00",90,"Codium fragile","b8c4efbb-9c72-4711-afa7-869e44a13f1f",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"112a01c8-2bc2-48c8-923d-b1ac268848df","2023-11-06 11:06:18.397961+00","2023-11-06 11:06:18.397986+00",90,"Chondrillidae","6b9fdd82-685f-4f21-8fa3-883e06be2c30",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"11c3a113-0516-4f62-9030-eaa859846805","2019-09-23 16:39:59.650411+00","2019-09-23 16:39:59.650442+00",90,"Antipatharia","3dc38d25-ed80-4049-af16-e85f04f97cc6",NULL,"356bce05-ff67-4abc-ad03-bc57fa5190a0"
