CoralNetID,CoralNetName,Default short code,Functional group,Public sources using,Public annotation count,MERMAID_BA,MERMAID_GF,MermaidBaID,MermaidGfID,CoralFocus3Label
61,Cyphastrea,Cypha,Hard coral,74,7211,Cyphastrea,NA,88d79d42-3fef-48ab-887e-dae60ae9072a,NA,Merulinidae
4319,Sargassum hystrix,SarHys,Algae,12,8394,Sargassum hystrix,NA,a81dc2ce-99cd-4937-b06b-283ab18f0cc0,NA,Macroalgae
1175,XENIIDAE,XEN,Other Invertebrates,6,15732,Xeniidae,NA,1cf7ce64-c413-490e-a261-e6effe8cbbb8,NA,Other invertebrates
192,Echinophyllia,Echinophyl,Hard coral,59,436,Echinophyllia,NA,4111c390-2319-4f7a-a65c-76e9e37c8a45,NA,Remove
1333,CRED-Microdictyon spp,*MICR,Algae,41,20679,Microdictyon,NA,68884c5d-d3d1-4a35-ab5a-4e98e5591d41,NA,Macroalgae
452,Microdictyon,Microdicty,Algae,37,15908,Microdictyon,NA,68884c5d-d3d1-4a35-ab5a-4e98e5591d41,NA,Macroalgae
168,Acroporidae (branching),ACR_br,Hard coral,10,12099,Acroporidae,Branching,a36b36c6-1f9f-4aa1-922c-61e74c786187,cf2deca6-53b8-4096-916f-32c2c71d14bf,Remove
1262,CRED-Branching hard coral,*BR,Hard coral,16,1294,Acroporidae,Branching,a36b36c6-1f9f-4aa1-922c-61e74c786187,cf2deca6-53b8-4096-916f-32c2c71d14bf,Remove
67,Leptoseris,Leptoseris,Hard coral,67,2253,Leptoseris,NA,8da49adb-eb3c-4486-a538-42114813b58e,NA,Agariciidae
1863,Leptoseris incrustans,L.incrus,Hard coral,35,55,Leptoseris,NA,8da49adb-eb3c-4486-a538-42114813b58e,NA,Agariciidae
58,Acanthastrea,Acanth,Hard coral,67,540,Acanthastrea,NA,d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,NA,Remove
228,Echinoderms,ECHINODERM,Other Invertebrates,10,14,Other invertebrates,NA,3dc38d25-ed80-4049-af16-e85f04f97cc6,NA,Other invertebrates
342,Echinoderms: sea urchin,Urchins,Other Invertebrates,160,4120,Sea urchin,NA,f7980725-60b3-47c9-abd2-0a006ea30061,NA,Other invertebrates
