ba_id,ba_name,lh_name,gf_name,lh_id,gf_id
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
