ba_id,ba_name,lh_name,lh_id
7cc759a3-9d4c-45dc-9e86-73c09ead5e15,Leptastrea purpurea,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
ac1ef5e0-e022-4b76-a4be-230db922fac9,Leptastrea transversa,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
ac1ef5e0-e022-4b76-a4be-230db922fac9,Leptastrea transversa,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
23a1cb26-5cff-49fe-923d-cecd75de7547,Leptoria,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
9a09ac4e-9641-4125-9d0f-56616dca77df,Leptoria phrygia,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
8da49adb-eb3c-4486-a538-42114813b58e,Leptoseris,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
2f4f8832-79bd-4127-8ef6-d7e3edd5c9f9,Lithophyllon,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
6d6234bf-5b9c-4cd8-b0e5-c8ea767f619c,Lobactis,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
38f10f9e-f39d-4135-ae40-6c32f77a2242,Lobactis scutaria,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e3ea5520-1e7f-41c6-a141-6c27327b56a1,Lobophyllia,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e71eea11-ad6e-4ee0-a47c-4c3ff7a6964b,Lobophyllia agaricia,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
8044923e-f88a-432d-8492-377489d5331d,Lobophyllia hemprichii,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
ead492fc-fab6-4bcf-905a-50e48df34306,Lobophyllia radians,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
a24fd27f-7577-4c46-a5fc-68aa3a1bae56,Lobophylliidae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
223860e9-b7b5-412c-bcab-0f16d43928fb,Madracis,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
9fc8164a-a7b9-43d4-bf2e-74e2f8a14d66,Madracis auretenra,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
be60a317-7fc4-464c-8793-23d07cdba327,Madracis carmabi,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
62b87704-ca62-415d-a340-48764e8b6c69,Madracis decactis,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
58e425be-7112-4dfb-8568-25806aaf2f4f,Madracis formosa,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
9dd277d1-1530-41f0-a33e-4f5ac0871125,Madracis kirbyi,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
58ab3128-0e13-4d2e-884b-3d5dab1e18e1,Madracis myriaster,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
53c61b6c-68c0-46fe-bfae-e77e6f12d7af,Madracis pharensis,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
60f9b62d-0cb0-47dd-9551-3929af847cb7,Madracis senaria,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
4d0307f4-8432-4494-ae74-c8c7ce925941,Manicina,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
ea0721ea-3c12-42bf-970b-a364016bb5df,Manicina areolata,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
af037a13-6f51-4f9a-a237-58326098c94f,Meandrina,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
abc83e25-a84f-4660-827f-e40efc38d01f,Meandrina jacksoni,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
330fdf21-d50d-4e03-9421-57a66d892d0a,Meandrina meandrites,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
de352349-e792-43a2-808f-0fc4f501783d,Meandrinidae,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
de352349-e792-43a2-808f-0fc4f501783d,Meandrinidae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
cdee93cc-5434-460e-b1e8-78b4164ab266,Merulina,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
094b095b-fe8d-4ed8-bcfb-1c52609fbbea,Merulina scabricula,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
469174fe-ca4b-40e3-839f-435bd1b14989,Merulinidae,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
469174fe-ca4b-40e3-839f-435bd1b14989,Merulinidae,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
469174fe-ca4b-40e3-839f-435bd1b14989,Merulinidae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
25247569-2f0f-438d-8b69-c62ee31150de,Micromussa,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
995f68d0-2dec-4e22-916a-cf1f44c1663b,Millepora,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
4c173e5b-b34a-4b9d-8fea-9f598673fa33,Millepora alcicornis,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
16287ac3-a2c5-4d10-ad2d-eae00c4cc148,Millepora complanata,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
9a23a972-cefa-4827-9636-41f8e5a73b77,Millepora squarrosa,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
debeddf2-6aaf-42f0-a506-535998922712,Millepora striata,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
b43bd5eb-e933-4a93-b054-9abc3082de65,Milleporidae,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
e2a62f32-1424-44fa-ba52-fbdd4e9ee6f0,Montastraea,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e8edb2ee-0fc3-445d-8617-b660313c9606,Montastraea cavernosa,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
0e0f55db-d15a-479e-9a9f-cbea6046ae7c,Montastraeidae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
db19681c-7729-4405-b3c0-7f0fd0db86ef,Montigyra,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,Montipora,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,Montipora,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,Montipora,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
c212d193-6461-4975-bbd5-76454bcacc96,Montipora aequituberculata,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
c212d193-6461-4975-bbd5-76454bcacc96,Montipora aequituberculata,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
b3b04bf8-b38a-420b-abbb-4ac3d7324d89,Montipora australiensis,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
4412ffc1-93ca-42f5-bb58-01c191272fc4,Montipora capitata,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
45b6feb0-9516-4ded-9a26-f36c143e5275,Montipora corbettensis,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
0703a3e7-3e69-4d0b-9d8a-a86a74723e15,Montipora danae,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
0703a3e7-3e69-4d0b-9d8a-a86a74723e15,Montipora danae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
5f3b2966-4ede-43bd-82b2-6cb9a7bc0687,Montipora digitata,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
750783b4-ef24-4ea5-b508-d77d20933eb2,Montipora flabellata,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
c0d80c78-83b0-4b05-b552-ee69cb816d47,Montipora foliosa,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
c0d80c78-83b0-4b05-b552-ee69cb816d47,Montipora foliosa,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
abc07859-511a-47ee-9e6f-8537fff36be1,Montipora hoffmeisteri,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
869ffa39-8a0a-4125-9f99-c4eec69aa69c,Montipora informis,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
9f06b993-7708-43f1-9886-41323155091b,Montipora patula,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
c856eacf-7ec9-47b5-b176-1e7ac3a5e96a,Montipora peltiformis,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
c856eacf-7ec9-47b5-b176-1e7ac3a5e96a,Montipora peltiformis,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
7efc0668-6d2d-4bb7-ba11-a61a4d835536,Montipora spumosa,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
7aacdce9-b221-40ea-88bb-0315e892d421,Montipora stellata,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
3859ab37-5fe8-43cd-a000-ecb8c459f34e,Montipora verrucosa,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
3859ab37-5fe8-43cd-a000-ecb8c459f34e,Montipora verrucosa,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
abbc2eed-fa22-434b-a13c-7c2929c3da09,Moseleya,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e5e686e5-5f55-499c-ab8e-dc8aa79db5c4,Mussidae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e5e686e5-5f55-499c-ab8e-dc8aa79db5c4,Mussidae,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
f6f3b5cf-7bc6-483a-8ef7-0c41a6672be2,Mycedium,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
d6d74742-d8ed-4954-b164-fc6607c3efa9,Mycetophyllia,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
3e7dec2f-33a4-4087-9e8e-c8a3fc987669,Mycetophyllia aliciae,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
325f003f-90f0-4961-9b4a-86a875ee2a7f,Mycetophyllia danaana,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
17131731-e6c8-431e-9a55-8cc438ec5a23,Mycetophyllia ferox,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
fad9ba75-a2b0-44ad-bc67-67b5ade6ad76,Mycetophyllia lamarckiana,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
d2b07639-38c2-4258-9f63-290ec7e5f836,Nemenzophyllia,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
ab6d461a-6004-4675-8d42-cf63f405c7eb,Oculinidae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
1583ffd5-f3a1-4346-ab3c-ada28292b22d,Orbicella,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
9be51ec6-7400-46c7-bdfe-c56eac991cb7,Orbicella annularis,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
3f7a3174-94b4-4e50-b4d6-f80724bd0983,Orbicella faveolata,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
3f7a3174-94b4-4e50-b4d6-f80724bd0983,Orbicella faveolata,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
28373b18-98da-4ffe-b482-c0b1b5d4e82c,Orbicella franksi,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
28373b18-98da-4ffe-b482-c0b1b5d4e82c,Orbicella franksi,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
190d2f0d-67be-48a3-8ea0-33e66546f3f7,Oulophyllia,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e450c3c2-f3ca-4b81-9b99-aa1928aee1bb,Oxypora,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
1ddec0f1-b5f2-43dc-bb3e-8368d6059089,Oxypora echinata,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
4d493a0d-6c7e-4f5f-8a71-06bac94a8c53,Pachyseris,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
e981cbce-fbb3-4fe0-851b-5e24b16bba3e,Palauastrea,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
c1e63c58-ed01-4934-ac1c-e7282ea73c85,Paragoniastrea,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
7e4f70be-574f-4971-8a2e-ba8cc25dbb35,Paragoniastrea russelli,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
b4566ebe-b395-437b-9703-f693ae4e2582,Paramontastraea,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
7c60f58c-0117-4b00-9956-707bdfb39617,Paramontastraea peresi,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
108ff93e-9191-42bf-b502-3a437407b22a,Pavona,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
108ff93e-9191-42bf-b502-3a437407b22a,Pavona,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
108ff93e-9191-42bf-b502-3a437407b22a,Pavona,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
42e02821-c8bc-42e5-a793-f23e67136d0b,Pavona bipartita,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
af36139c-44a5-4517-83ef-2279a787fb16,Pavona cactus,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
3a5b653d-c1da-4e42-aafb-eb640fa961db,Pavona clavus,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
3a5b653d-c1da-4e42-aafb-eb640fa961db,Pavona clavus,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
6766adfc-b2fa-4d38-9e7b-05886df6263f,Pavona decussata,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
6766adfc-b2fa-4d38-9e7b-05886df6263f,Pavona decussata,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e6d5e0ac-be0e-41b0-9b4d-239abd8317d7,Pavona duerdeni,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
8d7e7d3c-e2fe-4579-afd4-b8c1f221e345,Pavona explanulata,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
08fab4ab-3f43-4acb-8bc1-d7bdc87c4bd7,Pavona maldivensis,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
aa9d685f-4d61-425d-af04-71f060eef923,Pavona varians,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
aa9d685f-4d61-425d-af04-71f060eef923,Pavona varians,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
ac083cae-92d3-4dda-a581-f4a4f1907648,Pavona venosa,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
602dc038-8e99-4c55-85e4-f3141ddc0041,Pectinia,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
2b1e2403-6391-4017-9044-0f00a7cb9068,Physogyra,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
9cd8176f-b5b4-474e-87bc-f2744338fe00,Platygyra,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
cdc9cefd-8e5f-473f-acd4-21815febea72,Platygyra crosslandi,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
f2025774-f694-4c15-8725-c4dcbdb01cf4,Platygyra daedalea,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
61c33a44-2704-4a15-af1e-5411f472a4f8,Platygyra lamellina,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
149a3fa6-6b29-4004-aa47-03d7dc3648cc,Platygyra pini,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
6d8f7a3b-7486-4829-9d21-f082d3653893,Platygyra sinensis,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
eaebab16-9d01-4723-b120-6239314826ab,Plerogyra,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
5ab3e132-8c64-4e65-8a5e-25d92f284331,Plesiastrea,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
d2b0f823-5641-43d7-872b-a59accf15ac7,Plesiastrea versipora,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
31f1f9fc-55ef-4041-b1e4-18763794dd97,Pleuractis,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
da1dfe78-f982-4b09-81ae-b38d328bd85e,Pocillopora,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
da1dfe78-f982-4b09-81ae-b38d328bd85e,Pocillopora,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
da1dfe78-f982-4b09-81ae-b38d328bd85e,Pocillopora,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
f5bc01df-3c08-4e3d-8edf-76f536675736,Pocillopora aliciae,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
b401b526-6d2f-4f6a-8cc1-10051e0623ff,Pocillopora damicornis,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
52c54acc-cde4-444c-8ba3-1b2c8c6ab17f,Pocillopora grandis,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
52c54acc-cde4-444c-8ba3-1b2c8c6ab17f,Pocillopora grandis,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
47172483-3101-4c6f-96e0-6bc3e43dfaf5,Pocillopora ligulata,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
5115c485-0237-450a-a6f8-fdcddd54eeed,Pocillopora meandrina,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
5115c485-0237-450a-a6f8-fdcddd54eeed,Pocillopora meandrina,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
dd836305-6c6d-4a07-b3cc-9d20fc4899c4,Pocillopora verrucosa,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
dd836305-6c6d-4a07-b3cc-9d20fc4899c4,Pocillopora verrucosa,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
6580c490-3a3c-4969-b91f-18d7edd82074,Pocilloporidae,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
6580c490-3a3c-4969-b91f-18d7edd82074,Pocilloporidae,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
6580c490-3a3c-4969-b91f-18d7edd82074,Pocilloporidae,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
a89f2635-41fe-4d2f-ae67-880a5707340e,Podabacia,generalist,19659766-1d38-4b01-adb4-5f95eeb6e421
2b55697f-f26e-433e-9070-f1fe9748bf7b,Porites,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
2b55697f-f26e-433e-9070-f1fe9748bf7b,Porites,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
d4899f32-d898-472f-ab86-60a42f9509d3,Porites annae,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
e288a94f-7117-4a54-9558-7d71144ccdc1,Porites astreoides,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
1f590289-ca7e-46a6-b59a-765fb7e980dd,Porites branneri,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
07e97dbf-5c07-420f-8045-12fc70866746,Porites colonensis,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,3427ae0e-fe8f-4ca2-a215-04272810202c
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
53bd7b12-ef70-4c59-ae58-effdd03117ef,Porites cylindrica,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
b09cfc80-dd4e-421e-a8ff-c456752f6dc2,Porites divaricata,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
dcb64e93-80b1-4e60-a2ec-07489d0cd839,Porites furcata,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
9745bb46-f8a8-4d08-b58a-6e1c4dca85d6,Porites harrisoni,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,79372230-f6d7-4a1c-b0af-2a4106a1d86f
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,weedy,404afe62-2ab8-4bd0-9156-43b7ced8bbf1
